# 1: 1 => 1 in 25.234µs ~ 685.418µs | total cached: 2 (found solution)
time '25.234µs + 685.418µs = 710.652µs': n = 2, i = 0, comparisons: 1

# 1: 1 => 2 in 15.479µs ~ 65.622µs | total cached: 2
# 2: 1 => 2 in 12.306µs ~ 43.225µs | total cached: 3 (found solution)
time '27.785µs + 108.847µs = 136.632µs': n = 3, i = 0, comparisons: 2
# 1: 1 => 1 in 13.829µs ~ 10.295µs | total cached: 2
# 2: 1 => 2 in 8.376µs ~ 46.457µs | total cached: 3
# 3: 1 => 1 in 8.591µs ~ 10.808µs | total cached: 4 (found solution)
time '30.796µs + 67.560µs = 98.356µs': n = 3, i = 1, comparisons: 3

# 1: 1 => 5 in 22.491µs ~ 125.766µs | total cached: 2
# 2: 1 => 7 in 19.786µs ~ 82.990µs | total cached: 3
# 3: 1 => 3 in 23.488µs ~ 60.470µs | total cached: 4 (found solution)
time '65.765µs + 269.226µs = 334.991µs': n = 4, i = 0, comparisons: 3
# 1: 1 => 2 in 29.747µs ~ 48.896µs | total cached: 2
# 2: 1 => 4 in 36.226µs ~ 68.573µs | total cached: 5
# 3: 3 => 5 in 34.977µs ~ 110.071µs | total cached: 8
# 4: 3 => 4 in 38.482µs ~ 47.946µs | total cached: 9 (found solution)
time '139.432µs + 275.486µs = 414.918µs': n = 4, i = 1, comparisons: 4

# 1: 1 => 16 in 97.982µs ~ 161.067µs | total cached: 2
# 2: 1 => 27 in 99.169µs ~ 179.755µs | total cached: 3
# 3: 1 => 15 in 85.179µs ~ 160.297µs | total cached: 4
# 4: 1 => 4 in 56.469µs ~ 61.820µs | total cached: 5 (found solution)
time '338.799µs + 562.939µs = 901.738µs': n = 5, i = 0, comparisons: 4
# 1: 1 => 5 in 123.316µs ~ 79.372µs | total cached: 2
# 2: 1 => 12 in 133.539µs ~ 126.792µs | total cached: 5
# 3: 3 => 18 in 92.878µs ~ 120.205µs | total cached: 10
# 4: 5 => 20 in 92.989µs ~ 144.235µs | total cached: 14
# 5: 4 => 6 in 40.289µs ~ 58.874µs | total cached: 15
# 6: 1 => 1 in 12.367µs ~ 19.768µs | total cached: 16 (found solution)
time '495.378µs + 549.246µs = 1.045ms': n = 5, i = 1, comparisons: 6
# 1: 1 => 4 in 69.148µs ~ 75.560µs | total cached: 2
# 2: 1 => 8 in 113.357µs ~ 89.585µs | total cached: 5
# 3: 3 => 17 in 127.704µs ~ 132.954µs | total cached: 11
# 4: 6 => 20 in 104.077µs ~ 127.265µs | total cached: 18
# 5: 7 => 10 in 53.430µs ~ 68.355µs | total cached: 21
# 6: 3 => 3 in 16.677µs ~ 48.491µs | total cached: 22 (found solution)
time '484.393µs + 542.210µs = 1.027ms': n = 5, i = 2, comparisons: 6

# 1: 1 => 63 in 243.997µs ~ 416.430µs | total cached: 2
# 2: 1 => 134 in 454.838µs ~ 790.812µs | total cached: 3
# 3: 1 => 88 in 428.870µs ~ 564.362µs | total cached: 4
# 4: 1 => 27 in 253.838µs ~ 222.825µs | total cached: 5
# 5: 1 => 5 in 116.197µs ~ 75.825µs | total cached: 6 (found solution)
time '1.498ms + 2.070ms = 3.568ms': n = 6, i = 0, comparisons: 5
# 1: 1 => 16 in 663.367µs ~ 146.343µs | total cached: 2
# 2: 1 => 43 in 759.008µs ~ 355.702µs | total cached: 5
# 3: 3 => 84 in 528.451µs ~ 524.101µs | total cached: 11
# 4: 6 => 111 in 510.563µs ~ 662.625µs | total cached: 19
# 5: 8 => 45 in 273.942µs ~ 295.504µs | total cached: 24
# 6: 5 => 13 in 80.609µs ~ 111.088µs | total cached: 26
# 7: 2 => 5 in 96.854µs ~ 76.660µs | total cached: 27 (found solution)
time '2.913ms + 2.172ms = 5.085ms': n = 6, i = 1, comparisons: 7
# 1: 1 => 10 in 551.023µs ~ 96.393µs | total cached: 2
# 2: 1 => 24 in 1.128ms ~ 219.048µs | total cached: 5
# 3: 3 => 61 in 1.634ms ~ 496.781µs | total cached: 17
# 4: 12 => 101 in 1.995ms ~ 728.757µs | total cached: 38
# 5: 21 => 72 in 1.073ms ~ 449.648µs | total cached: 56
# 6: 18 => 35 in 338.834µs ~ 232.979µs | total cached: 64
# 7: 8 => 11 in 216.993µs ~ 88.548µs | total cached: 67
# 8: 3 => 3 in 28.617µs ~ 44.792µs | total cached: 68 (found solution)
time '6.965ms + 2.357ms = 9.322ms': n = 6, i = 2, comparisons: 8

# 1: 1 => 318 in 1.560ms ~ 2.873ms | total cached: 2
# 2: 1 => 814 in 3.373ms ~ 7.499ms | total cached: 3
# 3: 1 => 642 in 3.517ms ~ 6.535ms | total cached: 4
# 4: 1 => 221 in 2.035ms ~ 2.568ms | total cached: 5
# 5: 1 => 43 in 889.838µs ~ 512.104µs | total cached: 6
# 6: 1 => 6 in 290.454µs ~ 86.870µs | total cached: 7 (found solution)
time '11.665ms + 20.074ms = 31.738ms': n = 7, i = 0, comparisons: 6
# 1: 1 => 63 in 6.118ms ~ 548.851µs | total cached: 2
# 2: 1 => 197 in 7.421ms ~ 2.018ms | total cached: 5
# 3: 3 => 465 in 5.640ms ~ 5.130ms | total cached: 11
# 4: 6 => 733 in 4.309ms ~ 9.122ms | total cached: 21
# 5: 10 => 388 in 3.207ms ~ 4.010ms | total cached: 32
# 6: 11 => 146 in 1.118ms ~ 1.698ms | total cached: 39
# 7: 7 => 46 in 1.073ms ~ 626.297µs | total cached: 41
# 8: 2 => 6 in 248.989µs ~ 105.292µs | total cached: 42 (found solution)
time '29.135ms + 23.258ms = 52.393ms': n = 7, i = 1, comparisons: 8
# 1: 1 => 32 in 4.312ms ~ 359.058µs | total cached: 2
# 2: 1 => 86 in 5.957ms ~ 927.787µs | total cached: 5
# 3: 3 => 272 in 8.761ms ~ 3.464ms | total cached: 20
# 4: 15 => 566 in 10.756ms ~ 8.688ms | total cached: 60
# 5: 40 => 548 in 6.018ms ~ 8.520ms | total cached: 117
# 6: 57 => 349 in 4.054ms ~ 5.016ms | total cached: 158
# 7: 41 => 137 in 1.317ms ~ 1.907ms | total cached: 176
# 8: 18 => 45 in 392.401µs ~ 768.119µs | total cached: 181
# 9: 5 => 8 in 423.149µs ~ 200.375µs | total cached: 182
# 10: 1 => 1 in 46.089µs ~ 33.328µs | total cached: 183 (found solution)
time '42.037ms + 29.884ms = 71.921ms': n = 7, i = 2, comparisons: 10
# 1: 1 => 25 in 1.865ms ~ 260.628µs | total cached: 2
# 2: 1 => 70 in 4.087ms ~ 826.554µs | total cached: 5
# 3: 3 => 223 in 7.706ms ~ 3.122ms | total cached: 18
# 4: 13 => 503 in 12.660ms ~ 8.234ms | total cached: 69
# 5: 51 => 554 in 9.394ms ~ 11.108ms | total cached: 157
