# 1: 1 => 1 in 21.435µs ~ 683.214µs | total cached: 2 (found solution)
time '21.435µs + 683.214µs = 704.649µs': n = 2, i = 0, comparisons: 1

# 1: 1 => 2 in 15.506µs ~ 54.036µs | total cached: 2
# 2: 1 => 2 in 22.808µs ~ 60.393µs | total cached: 3 (found solution)
time '38.314µs + 114.429µs = 152.743µs': n = 3, i = 0, comparisons: 2
# 1: 1 => 1 in 14.001µs ~ 10.965µs | total cached: 2
# 2: 1 => 2 in 9.470µs ~ 24.260µs | total cached: 3
# 3: 1 => 1 in 5.970µs ~ 7.113µs | total cached: 4 (found solution)
time '29.441µs + 42.338µs = 71.779µs': n = 3, i = 1, comparisons: 3

# 1: 1 => 5 in 26.387µs ~ 104.133µs | total cached: 2
# 2: 1 => 7 in 39.443µs ~ 207.002µs | total cached: 3
# 3: 1 => 3 in 20.534µs ~ 59.289µs | total cached: 4 (found solution)
time '86.364µs + 370.424µs = 456.788µs': n = 4, i = 0, comparisons: 3
# 1: 1 => 2 in 38.676µs ~ 53.217µs | total cached: 2
# 2: 1 => 4 in 63.324µs ~ 65.467µs | total cached: 5
# 3: 3 => 5 in 33.219µs ~ 61.859µs | total cached: 8
# 4: 3 => 4 in 32.127µs ~ 45.786µs | total cached: 9 (found solution)
time '167.346µs + 226.329µs = 393.675µs': n = 4, i = 1, comparisons: 4

# 1: 1 => 16 in 88.134µs ~ 136.666µs | total cached: 2
# 2: 1 => 27 in 190.180µs ~ 204.808µs | total cached: 3
# 3: 1 => 15 in 110.102µs ~ 133.978µs | total cached: 4
# 4: 1 => 4 in 54.392µs ~ 76.147µs | total cached: 5 (found solution)
time '442.808µs + 551.599µs = 994.407µs': n = 5, i = 0, comparisons: 4
# 1: 1 => 5 in 159.428µs ~ 86.988µs | total cached: 2
# 2: 1 => 12 in 179.382µs ~ 126.026µs | total cached: 5
# 3: 3 => 18 in 97.994µs ~ 124.386µs | total cached: 10
# 4: 5 => 20 in 104.338µs ~ 124.284µs | total cached: 14
# 5: 4 => 6 in 57.625µs ~ 58.691µs | total cached: 15
# 6: 1 => 1 in 9.892µs ~ 14.477µs | total cached: 16 (found solution)
time '608.659µs + 534.852µs = 1.144ms': n = 5, i = 1, comparisons: 6
# 1: 1 => 4 in 74.973µs ~ 76.601µs | total cached: 2
# 2: 1 => 8 in 116.412µs ~ 94.760µs | total cached: 5
# 3: 3 => 17 in 172.859µs ~ 122.750µs | total cached: 11
# 4: 6 => 20 in 104.092µs ~ 129.831µs | total cached: 18
# 5: 7 => 10 in 60.771µs ~ 92.656µs | total cached: 21
# 6: 3 => 3 in 27.731µs ~ 45.273µs | total cached: 22 (found solution)
time '556.838µs + 561.871µs = 1.119ms': n = 5, i = 2, comparisons: 6

# 1: 1 => 63 in 257.241µs ~ 430.321µs | total cached: 2
# 2: 1 => 134 in 862.270µs ~ 846.748µs | total cached: 3
# 3: 1 => 88 in 566.370µs ~ 577.313µs | total cached: 4
# 4: 1 => 27 in 248.029µs ~ 224.645µs | total cached: 5
# 5: 1 => 5 in 106.054µs ~ 69.778µs | total cached: 6 (found solution)
time '2.040ms + 2.149ms = 4.189ms': n = 6, i = 0, comparisons: 5
# 1: 1 => 16 in 692.681µs ~ 159.202µs | total cached: 2
# 2: 1 => 43 in 752.074µs ~ 359.298µs | total cached: 5
# 3: 3 => 84 in 591.557µs ~ 661.416µs | total cached: 11
# 4: 6 => 111 in 503.276µs ~ 741.339µs | total cached: 19
# 5: 8 => 45 in 254.313µs ~ 291.430µs | total cached: 24
# 6: 5 => 13 in 76.422µs ~ 109.279µs | total cached: 26
# 7: 2 => 5 in 109.228µs ~ 82.220µs | total cached: 27 (found solution)
time '2.980ms + 2.404ms = 5.384ms': n = 6, i = 1, comparisons: 7
# 1: 1 => 10 in 631.722µs ~ 109.473µs | total cached: 2
# 2: 1 => 24 in 1.239ms ~ 247.938µs | total cached: 5
# 3: 3 => 61 in 1.772ms ~ 475.546µs | total cached: 17
# 4: 12 => 101 in 1.878ms ~ 747.770µs | total cached: 38
# 5: 21 => 72 in 1.137ms ~ 603.500µs | total cached: 56
# 6: 18 => 35 in 348.237µs ~ 263.991µs | total cached: 64
# 7: 8 => 11 in 195.634µs ~ 101.171µs | total cached: 67
# 8: 3 => 3 in 18.931µs ~ 44.683µs | total cached: 68 (found solution)
time '7.220ms + 2.594ms = 9.814ms': n = 6, i = 2, comparisons: 8

# 1: 1 => 318 in 2.703ms ~ 3.081ms | total cached: 2
# 2: 1 => 814 in 5.785ms ~ 8.217ms | total cached: 3
# 3: 1 => 642 in 3.690ms ~ 6.147ms | total cached: 4
# 4: 1 => 221 in 2.128ms ~ 2.437ms | total cached: 5
# 5: 1 => 43 in 912.977µs ~ 470.554µs | total cached: 6
# 6: 1 => 6 in 272.730µs ~ 107.924µs | total cached: 7 (found solution)
time '15.492ms + 20.461ms = 35.953ms': n = 7, i = 0, comparisons: 6
# 1: 1 => 63 in 5.921ms ~ 572.267µs | total cached: 2
# 2: 1 => 197 in 7.370ms ~ 2.102ms | total cached: 5
# 3: 3 => 465 in 6.207ms ~ 5.858ms | total cached: 11
# 4: 6 => 733 in 4.605ms ~ 9.064ms | total cached: 21
# 5: 10 => 388 in 2.648ms ~ 4.011ms | total cached: 32
# 6: 11 => 146 in 1.645ms ~ 1.542ms | total cached: 39
# 7: 7 => 46 in 782.278µs ~ 537.657µs | total cached: 41
# 8: 2 => 6 in 254.645µs ~ 130.047µs | total cached: 42 (found solution)
time '29.433ms + 23.817ms = 53.250ms': n = 7, i = 1, comparisons: 8
# 1: 1 => 32 in 3.158ms ~ 310.603µs | total cached: 2
# 2: 1 => 86 in 6.280ms ~ 1.007ms | total cached: 5
# 3: 3 => 272 in 9.420ms ~ 3.721ms | total cached: 20
# 4: 15 => 566 in 11.703ms ~ 8.649ms | total cached: 60
# 5: 40 => 548 in 6.647ms ~ 8.194ms | total cached: 117
# 6: 57 => 349 in 2.850ms ~ 4.727ms | total cached: 158
# 7: 41 => 137 in 1.509ms ~ 1.796ms | total cached: 176
# 8: 18 => 45 in 444.375µs ~ 580.885µs | total cached: 181
# 9: 5 => 8 in 220.619µs ~ 126.405µs | total cached: 182
